value_id	value_type_id	value_label
NoModalFuture	ModalityManipulations	"No modal + future"
NoModalImperative	ModalityManipulations	"No modal + imperative"
NoModalSimplePast	ModalityManipulations	"No modal + simple past"
NoModalSimplePresent	ModalityManipulations	"No modal + simple present"
NoPossessivePP	ExternalPossessionManipulation	"No possessive PP"
NoReflexive	ExternalPossessionManipulation	"No reflexive"
NoReflexivePossessiveDP	ExternalPossessionManipulation	"No reflexive + possessive DP"
NoReflexivePossessiveDPPP	ExternalPossessionManipulation	"No reflexive + possessive DP + PP"
NoReflexivePossessivePP	ExternalPossessionManipulation	"No reflexive + possessive PP"
notapplicable	Missing	"Does not apply"
notsure	Missing	"Not sure"
NoWorden	FutureWordenManipulations	"No 'worden'"
NoWordenSimplePresent	FutureWordenManipulations	"No 'worden' + simple present"
Passive	DeterminerManipulations	"Passive with 'be'"
Passive	FutureWordenManipulations	"Passive with 'be'"
Passive	ModalityManipulations	"Passive with 'be'"
Passive	Properties	"Passive with 'be'"
Passive	TenseVoiceAspectManipulations	"Passive with 'be'"
Passive	Voice	Passive
Past	Tense	Past
PastPerfect	TenseVoiceAspectManipulations	"Past perfect"
Perfect	Aspect	Perfect
Perfect	Properties	Perfect
Perfect	TenseVoiceAspectManipulations	Perfect
PerfectDoubling	ModalityManipulations	"Perfect doubling"
PerfectDoubling	TenseVoiceAspectManipulations	"Perfect doubling"
Poss	DOType	Possessive
Possessive	DeterminerManipulations	"Possessive pronoun"
Possessive	PossessiveManipulations	"Possessive pronoun"
Possessive	Properties	"Possessive pronoun 'zijn X'"
PossessiveDP	ExternalPossessionManipulation	"Possessive DP"
PossessiveDPDeterminerDropPP	ExternalPossessionManipulation	"Possessive DP + determiner drop with PP"
PossessiveDPNoPossessivePP	ExternalPossessionManipulation	"Possessive DP + no possessive PP"
PossessiveDPPP	ExternalPossessionManipulation	"Possessive DP + PP"
PossessiveDPPP	PossessiveManipulations	"Possessive DP + PP"
PossessivePP	ExternalPossessionManipulation	"Possessive PP"
PossessivePP2	ExternalPossessionManipulation	"Possessive PP2"
PossessivePPDeterminerDropPP2	ExternalPossessionManipulation	"Possessive PP + determiner drop with PP2"
PossessivePPPP2	ExternalPossessionManipulation	"Possessive PP + PP2"
Posspro	PossType	"Possessive pronoun	"
PP	OpenPosition	PP
PP	PossType	"Prepositional phrase"
PPPossessive	PossessiveManipulations	"PP possessive"
PPPossessive	Properties	"PP possessive 'de X van Jan'"
Present	Tense	Present
Progressive	Aspect	Progressive
Progressive	Properties	Progressive
Quantified	DOType	Quantified
QuantifiedCoordinated	DOType	"Quantified coordinated"
Quantifier	DeterminerManipulations	"Quantifier "
Reflexive	DOType	Reflexive
Reflexive	ExternalPossessionManipulation	Reflexive
ReflexivePossessiveDP	ExternalPossessionManipulation	"Reflexive + possessive DP"
ReflexivePossessivePP	ExternalPossessionManipulation	"Reflexive + possessive PP"
SaxonPossessive	PossessiveManipulations	"Saxon possessive"
SaxonPossessive	Properties	"Saxon possessive 'Jans X'"
Simple	Aspect	Simple
SimplePast	Properties	"Simple past"
SimplePast	TenseVoiceAspectManipulations	"Simple past"
SimplePresent	FutureWordenManipulations	"Simple present"
SimplePresent	Properties	"Simple present"
SimplePresent	TenseVoiceAspectManipulations	"Simple present"
SimplePresentAlternativeObject	TenseVoiceAspectManipulations	"Simple present + alternative object"
TopicalizationAdvP	DeterminerManipulations	"Topicalization of AdvP"
TopicalizationAdvP	ExternalPossessionManipulation	"Topicalization of AdvP"
TopicalizationAdvP	ModalityManipulations	"Topicalization of AdvP"
TopicalizationAdvP	TenseVoiceAspectManipulations	"Topicalization of AdvP"
TopicalizationAdvPPP	ExternalPossessionManipulation	"Topicalization of AdvP with PP"
TopicalizationAdvPPP	TenseVoiceAspectManipulations	"Topicalization of AdvP with PP"
TopicalizationAP	ModalityManipulations	"Topicalization of AP"
TopicalizationAP	TenseVoiceAspectManipulations	"Topicalization of AP"
TopicalizationDP	DeterminerManipulations	"Topicalization of DP"
TopicalizationDP	ExternalPossessionManipulation	"Topicalization of DP"
TopicalizationDP	FutureWordenManipulations	"Topicalization of DP"
TopicalizationDP	ModalityManipulations	"Topicalization of DP"
TopicalizationDP	PossessiveManipulations	"Topicalization of DP"
TopicalizationDP	TenseVoiceAspectManipulations	"Topicalization of DP"
TopicalizationDPAdvP	ExternalPossessionManipulation	"Topicalization of DP with AdvP"
TopicalizationDPAlternativeNeg	ModalityManipulations	"Topicalization of DP + alternative negation"
TopicalizationDPAlternativeNeg	TenseVoiceAspectManipulations	"Topicalization of DP + alternative negation"
TopicalizationDPAP	DeterminerManipulations	"Topicalization of DP with AP"
TopicalizationDPAP	ExternalPossessionManipulation	"Topicalization of DP with AP"
TopicalizationDPDeonticModalit	ModalityManipulations	"Topicalization of DP + deontic modality"
TopicalizationDPInf	ExternalPossessionManipulation	"Topicalization of DP with infinitival clause"
TopicalizationDPPP	DeterminerManipulations	"Topicalization of DP with PP"
TopicalizationDPPP	ExternalPossessionManipulation	"Topicalization of DP with PP"
TopicalizationDPPP	ModalityManipulations	"Topicalization of DP with PP"
TopicalizationDPPP	PossessiveManipulations	"Topicalization of DP with PP"
TopicalizationDPPP	TenseVoiceAspectManipulations	"Topicalization of DP with PP"
TopicalizationInf	ExternalPossessionManipulation	"Topicalization of the infinitival clause"
TopicalizationInf	TenseVoiceAspectManipulations	"Topicalization of the infinitival clause"
TopicalizationIO	ExternalPossessionManipulation	"Topicalization of the IO DP"
TopicalizationPP	DeterminerManipulations	"Topicalization of PP"
TopicalizationPP	ExternalPossessionManipulation	"Topicalization of PP"
TopicalizationPP	ModalityManipulations	"Topicalization of PP"
TopicalizationPP	PossessiveManipulations	"Topicalization of PP"
TopicalizationPP	TenseVoiceAspectManipulations	"Topicalization of PP"
TopicalizationPP2	ExternalPossessionManipulation	"Topicalization of PP2"
TopicalizationPPAP	ExternalPossessionManipulation	"Topicalization of PP with AP"
TopicalizationPPPP2	ExternalPossessionManipulation	"Topicalization of PP with PP2"
TopicalizationR	ModalityManipulations	"Topicalization of the R-pronoun"
TopicalizationRAdvP	ExternalPossessionManipulation	"Topicalization of the R-pronoun with AdvP"
TopicalizationVP	DeterminerManipulations	"Topicalization of VP"
TopicalizationVP	ModalityManipulations	"Topicalization of VP"
TopicalizationVP	TenseVoiceAspectManipulations	"Topicalization of VP"
WordenParticiple	FutureWordenManipulations	"Future with 'worden' + participle"
WordenSimplePresent	FutureWordenManipulations	"'Worden' + infinitive"
yes	boolean	yes
Yes	Modifier	Yes
Zijn	Verb	Zijn
ZijnHebben	Verb	"Zijn or hebben"
