answerset_id	answerset_name	answerset_description
Aalsters	Aalsters	Aalst
Brees	Brees	Bree
Brugs	Brugs	Brugge
Dendermonds	Dendermonds	Dendermonde
Deventers	Deventers	Deventer
Drents	Drents	Drenthe
Groesbeeks	Groesbeeks	Groesbeek
Gronings	Hogelandsters	Warffum
Leeds	Leeds	Lede
Leuvens	Leuvens	Leuven
Loois	Loois	Tessenderlo
Utrechts	Utrechts	Utrecht
Wambeeks	Wambeeks	Wambeek
